Date,n_stocks,env_pe_median,env_pb_median,env_ps_median,env_mv_median,env_div_median,env_growth_breadth,env_pe_dispersion,env_mv_concentration,env_pe_chg,env_pb_chg,env_ps_chg
2021-06-30,4011,29.0424,2.6286,2.9824,56.4093,0.833,73.0,1.6423,66.99,0.0,0.0,0.0
2021-09-30,4098,27.9621,2.6783,2.9728,56.5076,0.841,65.71,1.6201,65.5,-3.719733906288736,1.8907403180400184,-0.32188841201717944
2021-12-31,4173,31.2649,2.942,3.2914,64.3291,0.7874,60.39,1.6482,63.63,11.811702268427627,9.845797707501024,10.717168998923565
2022-03-31,4228,27.6593,2.6202,2.851,57.5415,0.8632,48.08,1.5381,64.14,-11.532421341504362,-10.938137321549968,-13.380324481983353
2022-06-30,4262,27.9686,2.5246,2.818,56.5121,0.9118,46.22,1.7082,65.64,1.1182495580148277,-3.6485764445462254,-1.1574886004910523
