模型,Val AUC,Val IC,Test AUC,Test IC
LogisticRegression,0.4114,-0.1526,0.5802,0.1089
XGBoost,0.43781017955169627,-0.10709995213136565,0.5738078123893506,0.10025940502617453
LightGBM,0.44093789861087096,-0.10171357226348035,0.5690040944613778,0.09373410835185615
RandomForest,0.46868296288494415,-0.05393251092534266,0.5606968399740367,0.08244966018212635
