window,train_n,val_n,env_train,env_val,lr_auc,lr_ic,xgb_auc,xgb_ic,n_features
W1,4000,4088,1.00,0,0.5986372980232939,0.14766527401916174,0.5497193023601542,0.07443243676384989,27
W2,8088,4167,0.49,1,0.41389189614924127,-0.148290728609794,0.4541437587994405,-0.07897114426283086,27
W3,12255,4210,0.67,0,0.5700591732042655,0.09516731061787201,0.5743279216288023,0.10096592371460003,27
