feature,VIF
总资产同比增长率,2.44
净资产同比增长率,2.25
市净率PB(MRQ),1.69
市销率PS(TTM),1.66
营业总收入(同比增长率),1.22
企业倍数(EV除EBITDA),1.19
profit_pc1,1.12
股息率(近12个月),1.11
"市盈率PE(TTM,扣除非经常性损益)",1.04
现金净流量同比增长率,1.03
市现率PCF(经营现金流TTM),1.03
市现率PCF(现金净流量TTM),1.0
MV,0.7
